OBJECTID,NA_ID,ACRES,NA_NAME,OWNER,R_RATING,C_RATING,TOP_RATING,DATA_DATE
650,1849,43.42,Scotland Lane Annual Burn Area,NCWRC,R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
651,1760,64.42,Secession Maritime Forest,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
652,24,5465.58,Shackleford Banks,USNPS,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
653,1050,106.75,Big Sheep Cliff Ridge,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
654,1958,1.96,Shell Landing,PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
655,1726,11.03,Yadkin River Bluffs,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
656,517,70.1,Youngs Mountain,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
657,2048,2334.81,Zeke's Island Estuarine Sanctuary,"NCDCM, NCDPR",R4 (Moderate),C3 (High),High,2021/01/22
658,1821,92.64,Dunahoe Bay,"PRV, TNC",R2 (Very High),C4 (Moderate),Very High,2021/01/22
659,378,6.5,Big Peachtree Creek Flatrock,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
660,2126,74.39,Waccamaw River Ridge and Swale,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
661,602,5256.02,North River/Indiantown Swamps,"NCWRC, PRV",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
662,2044,1042.89,Middle Island,"NCDCM, NCDPR, PRV",R3 (High),C4 (Moderate),High,2021/01/22
663,1828,102.88,Balsam Gap Natural Area,USNPS,R3 (High),C4 (Moderate),High,2021/01/22
664,202,11.73,Barnett Hollow,PRV,R3 (High),C4 (Moderate),High,2021/01/22
665,1456,284.03,Island Creek Natural Area,"PRV, USFS",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
666,1696,47.41,Ivy Creek Sugar Maple/Chestnut Oak Slope,USFS,R5 (General),C4 (Moderate),Moderate,2021/01/22
667,494,14.51,Jacobs Creek Slopes,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
668,688,2257.14,John Rock/Cedar Rock Mountain,USFS,R2 (Very High),C3 (High),Very High,2021/01/22
669,954,11.05,Johns Creek Natural Area,USFS,R2 (Very High),C5 (General),Very High,2021/01/22
670,640,56.27,Old Still Creek Natural Area,"PRV, USACE",R5 (General),C5 (General),General,2021/01/22
671,1188,4.77,Ophir Bog,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
672,2065,123.3,Otter Creek Natural Area,ECU,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
673,441,6621.02,Pamlico Point Marshes and Impoundments,"NCWRC, PRV",R5 (General),C5 (General),General,2021/01/22
674,1856,552.19,Sidbury Road Savanna,PRV,R3 (High),C3 (High),High,2021/01/22
675,1010,11.38,Slick Rock,USFS,R3 (High),C4 (Moderate),High,2021/01/22
676,1904,1092.76,Snake Mountain,"HCC, NCDPR, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
677,1819,79.31,Broad River Natural Area,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
678,1556,671.81,Browns Island,PRV,R3 (High),C4 (Moderate),High,2021/01/22
679,1963,92.81,Bennett Mountain,PRV,R5 (General),C5 (General),General,2021/01/22
680,305,8.45,Hagan-Stone Park,LOCAL,R5 (General),C4 (Moderate),Moderate,2021/01/22
681,221,11.08,Deep Gap Natural Area,"PRV, USNPS",R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
682,1225,12109.92,Palmetto-Peartree Swamp Forest,"PRV, TCF",R3 (High),C2 (Very High),Very High,2021/01/22
683,554,6.82,Brushy Creek Bluff,PRV,R5 (General),C5 (General),General,2021/01/22
684,467,503.53,Jordan Creek Natural Area,NCWRC,R2 (Very High),C3 (High),Very High,2021/01/22
685,240,301.93,Henry Wright/Kelsey Hemlock Forests,"HCLT, USFS",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
686,484,16.84,King Creek Flats,PRV,R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
687,1170,136.09,Knap of Reeds Creek Diabase Levee and Slopes,"NCHHS, USACE",R2 (Very High),C3 (High),Very High,2021/01/22
688,324,336.13,Alexander Cliffs and Slopes,"NCWRC, PRV",R2 (Very High),C4 (Moderate),Very High,2021/01/22
689,2579,281.01,Little Shocco Creek Hardwood Forest,PRV,R5 (General),C5 (General),General,2021/01/22
690,1657,44.43,Knap of Reeds Creek Ravine,NCDA,R5 (General),C5 (General),General,2021/01/22
691,2910,280.6,Bakers Ridge,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
692,2912,150.53,Betsy's Peak Rich Slope and Seeps,PRV,R5 (General),C5 (General),General,2021/01/22
693,87,1821.19,Lower New Hope Creek Floodplain Forest and Slopes,"PRV, USACE",R2 (Very High),C3 (High),Very High,2021/01/22
694,2800,1065.92,Reasonover Creek Headwaters,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
695,957,829.47,Yellow Mountain/Blackrock Mountain,"PRV, USFS",R5 (General),C4 (Moderate),Moderate,2021/01/22
696,2662,46.34,Reedy Fork Slopes at NC 61,PRV,R5? (General?),C5 (General),General,2021/01/22
697,1362,4048.79,Wayah Bald and Wine Spring Bald,"PRV, USFS",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
698,3017,751.91,Lambert Mountain,USFS,R3 (High),C3 (High),High,2021/01/22
699,3001,248.77,Hyco Creek Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
700,2995,199.13,Hyco Lake Slopes,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
701,1249,2023.01,Lower Brown Creek Swamp,"PRV, USFWS",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
702,499,4.05,Bennett Bridge Diabase Dike,USFWS,R3 (High),C4 (Moderate),High,2021/01/22
703,1831,80.25,Cates Creek Hardwood Forest,PRV,R5 (General),C5 (General),General,2021/01/22
704,455,2103.75,Middle Eno River Bluffs and Slopes,"LOCAL, NCDPR",R2 (Very High),C3 (High),Very High,2021/01/22
705,2160,244.79,Lower Cane Creek Slopes and Bottom,PRV,R5 (General),C5 (General),General,2021/01/22
706,720,5063.44,Orton Sandhills and Limesinks,PRV,R2 (Very High),C2 (Very High),Very High,2021/01/22
707,3048,695.14,CPF/Orton Pond Aquatic Habitat,PRV,R5 (General),C5 (General),General,2021/01/22
708,526,47.85,Ivy River Dam Cliffs,PRV,R3 (High),C3 (High),High,2021/01/22
709,527,228.07,Sams Gap/High Rock,"PRV, USFS",R3 (High),C4 (Moderate),High,2021/01/22
710,363,297.41,Spring Creek Mountain,PRV,R5 (General),C5 (General),General,2021/01/22
711,1678,440.77,Whiterock Cliffs,USFS,R3 (High),C3 (High),High,2021/01/22
712,1677,135.59,Black Pine Ridge,USFS,R3 (High),C5 (General),High,2021/01/22
713,2019,163.65,Murray Branch Slopes,USFS,R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
714,1925,48.38,Whiteoak Flats Branch,USFS,R5 (General),C5 (General),General,2021/01/22
715,334,360.05,Sandymush Creek/Turkey Creek Gorge,"NCWRC, PRV",R2 (Very High),C3 (High),Very High,2021/01/22
716,1681,113.23,Paint Rock Road Natural Area,"PRV, USFS",R2 (Very High),C3 (High),Very High,2021/01/22
717,779,51.32,Mine Ridge,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
718,1250,750.66,Spring Creek Gorge,USFS,R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
719,3058,71.23,Walnut Mountains/Sevenmile Ridge,PRV,R5? (General?),C5 (General),General,2021/01/22
720,3055,154.22,Spring Creek/Turkey Mountain,"PRV, USFS",R5 (General),C5 (General),General,2021/01/22
721,373,2388.78,Fisher Peak,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
722,1042,126.16,Perquimans River Cherrybark Oak Flats,PRV,R3 (High),C5 (General),High,2021/01/22
723,1909,13.46,Bunn Flatrock,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
724,121,30.31,Salter Path Maritime Forest,PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
725,1559,3823.59,Durant Island,PRV,R3 (High),C4 (Moderate),High,2021/01/22
726,1066,195.49,Fort Raleigh Maritime Forest,"PRV, USNPS",R5 (General),C4 (Moderate),Moderate,2021/01/22
727,2191,7.47,Cates Creek Hardpan Forest,PRV,R5 (General),C5 (General),General,2021/01/22
728,2198,271.69,Big Island Carolina Hemlock Bluff,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
729,847,9.96,Buffalo Creek Flats,TNC,R3 (High),C5 (General),High,2021/01/22
730,625,63.99,Johnsontown Road Flatwoods,NCFS,R5 (General),C5 (General),General,2021/01/22
731,292,177.61,Poes Ridge/Dam Road Upland Forests,USACE,R5 (General),C5 (General),General,2021/01/22
732,620,4.05,Eubanks Road Xeric Hardpan Forest,DUKE,R5 (General),C5 (General),General,2021/01/22
733,1212,2475.01,Pringle Road Bay Rims,USFS,R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
734,1211,25.29,Providence Flats Swamp,"LOCAL, PRV",R5 (General),C4 (Moderate),Moderate,2021/01/22
735,1826,5054.15,Pungo Lake Natural Areas,USFWS,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
736,911,105.49,Pyrophyllite Ridge Monadnocks,PRV,R5 (General),C5 (General),General,2021/01/22
737,1728,1392.57,Millis Road Savannas and Pocosins,USFS,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
738,616,837.55,Robertson Mill Pond and Buffalo Creek Floodplain,"LOCAL, PRV",R5 (General),C4 (Moderate),Moderate,2021/01/22
739,1573,366.44,Green Pond Bay Rim,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
740,1626,19.65,Bog Flatrock,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
741,786,16.15,Lake Rogers Diabase Area,"NCDOT, PRV",R2 (Very High),C4 (Moderate),Very High,2021/01/22
742,1887,129.02,Badin Upland Depression Swamps and Xeric Woodland,USFS,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
743,722,46.84,Abington Wetland Area,PRV,R5 (General),C5 (General),General,2021/01/22
744,715,132.37,Hollemans Crossroads Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
745,783,3.36,Hollemans Crossroads Wetland,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
746,1855,172.08,Beaver Creek Floodplain,"LOCAL, USACE",R5 (General),C5 (General),General,2021/01/22
747,1407,2443.24,Little Fork Forests,"NCFS, PRV",R5 (General),C4 (Moderate),Moderate,2021/01/22
748,2214,52.65,Harvest Field Sunflower Site,NCPCP,R4 (Moderate),C5 (General),Moderate,2021/01/22
749,2217,6.03,Suther Prairie,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
750,2231,968.57,Watery Branch Sandhills,"NCWRC, PRV",R3 (High),C3 (High),High,2021/01/22
751,2230,1091.89,Upper Hills Creek Sandhills,"NCWRC, PRV",R3 (High),C3 (High),High,2021/01/22
752,2226,401.74,Riverton Road Bay Rim,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
753,1208,65.57,Stokely Hollow and Ridge,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
754,863,27.43,Stony Creek Spring,DUKE,R2 (Very High),C5 (General),Very High,2021/01/22
755,212,184.06,Strausburg Road Pine Woods,NCWRC,R3 (High),C4 (Moderate),High,2021/01/22
756,685,82.59,Flat Laurel Gap,USNPS,R3 (High),C4 (Moderate),High,2021/01/22
757,1194,140.22,Robeson Creek Slopes,USACE,R5 (General),C5 (General),General,2021/01/22
758,1578,244.71,Trent River/Brice Creek Marshes,"LOCAL, PRV",R5 (General),C5 (General),General,2021/01/22
759,1063,163.32,Beech Creek Natural Area,"NCDPR, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
760,530,602.57,Black Ankle Bog,"PRV, TNC",R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
761,1295,9.34,Stagecoach Road Granitic Outcrop,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
762,1267,2402.82,Shipyard Landing Natural Area,"ECSU, NCWRC, PRV",R5 (General),C5 (General),General,2021/01/22
763,813,5397.26,Black Mountains/Celo Knob Natural Area,USFS,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
764,812,16510.9,Buckridge Swamps,"NCDCM, PRV",R3 (High),C3 (High),High,2021/01/22
765,965,182.17,Holiday Island,LOCAL,R4 (Moderate),C5 (General),Moderate,2021/01/22
766,2027,548.84,Bonnie Doone Natural Area,"LOCAL, PRV",R3 (High),C2 (Very High),Very High,2021/01/22
767,392,43.38,Lemon Springs Longleaf Pine Stand,PRV,R5 (General),C5 (General),General,2021/01/22
768,1023,122.02,Hemlock Bluffs State Natural Area,"LOCAL, NCDPR",R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
769,2225,1089.82,Juniper Creek Cedar Swamps,"NCWRC, PRV",R3 (High),C4 (Moderate),High,2021/01/22
770,2229,690.91,Highland Road Sandhills,PRV,R1 (Exceptional),C5 (General),Exceptional,2021/01/22
771,2157,693.62,Price Creek/Coxcomb Mountain,SAHC,R3 (High),C3 (High),High,2021/01/22
772,999,83.62,Cool Branch Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
773,894,17.41,Flat River Bend Forest,USACE,R2 (Very High),C4 (Moderate),Very High,2021/01/22
774,1480,127.24,Flat Rock Mountain,USNPS,R2 (Very High),C4 (Moderate),Very High,2021/01/22
775,1954,402.22,Flat Swamp Creek Heartleaf Plantain Site,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
776,384,73.37,Flower Hill/Moccasin Creek Bluffs,"PRV, TLC",R5 (General),C5 (General),General,2021/01/22
777,1139,805.39,Fork Ridge/Mount Hardy,"USFS, USNPS",R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
778,1979,132.96,Fort Branch Bluffs,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
779,1540,31.83,Linville River Wetlands,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
780,413,403.56,Little Road Longleaf Pine Savannas,"PRV, USFS",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
781,2122,11851.09,Little Lake/Long Lake/Sheep Ridge Wilderness,"PRV, USFS",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
782,924,1344.79,Little River/Cedar Mountain Natural Areas,"NCFS, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
783,835,35.53,Turtle Pond and (Cape Hatteras) Lighthouse Pond,USNPS,R2 (Very High),C4 (Moderate),Very High,2021/01/22
784,293,5747.09,Union Point Pocosin,USFS,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
785,52,2489.45,Upper Bowlens Creek Forests,USFS,R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
786,51,49165.08,Upper Alligator River Pocosin,"NCDCM, NCWRC, PRV, USFWS",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
787,548,42477.32,Dare County Pocosin,"USDOD, USFWS",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
788,503,60.51,Uwharrie River Slopes,USFS,R2 (Very High),C3 (High),Very High,2021/01/22
789,1389,166.18,Uwharrie Mafic Rock Area,USFS,R3 (High),C3 (High),High,2021/01/22
790,890,3667.38,Van Swamp,NCWRC,R3 (High),C4 (Moderate),High,2021/01/22
791,427,549.38,Graveyard Fields,"USFS, USNPS",R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
792,1268,6037.58,Great Marsh,"PRV, USFWS",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
793,1041,1704.68,Green River Gorge,NCWRC,R2 (Very High),C2 (Very High),Very High,2021/01/22
794,1126,511.78,Horse Creek Longleaf Pine Forest,NCWRC,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
795,1735,154.18,Seaboard Longleaf Pine Stand,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
796,66,2772.64,Reedy Point Swamp,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
797,1001,11985.73,Cherry Point Piney Island,USDOD,R2 (Very High),C3 (High),Very High,2021/01/22
798,2063,346.19,Millis Swamp Road Pinewoods,USFS,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
799,2154,57.16,Flat Swamp Hardpan Forest,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
800,2151,63.76,Two Creeks Basic Forest,PRV,R5 (General),C5 (General),General,2021/01/22
801,2235,120.02,Natmore Sandhills,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
802,2234,53.79,Georgia Branch Beaver Pond,NCCLT,R5 (General),C5 (General),General,2021/01/22
803,2215,506.62,Cape Fear River Terraces,"NCCLT, PRV",R5 (General),C4 (Moderate),Moderate,2021/01/22
804,1906,13834.35,Alligator River Refuge/Southeast Marshes,USFWS,R2 (Very High),C3 (High),Very High,2021/01/22
805,700,690.5,Lost Cove Cliffs,USFS,R2 (Very High),C3 (High),Very High,2021/01/22
806,1703,581.43,Lower Cape Fear River Bird Nesting Islands,"NCDOA, NCWRC",R2 (Very High),C4 (Moderate),Very High,2021/01/22
807,96,41.66,Mark Pine Bay Cooley's Meadowrue Site,"NCDOT, PRV",R2 (Very High),C3 (High),Very High,2021/01/22
808,2035,14540.76,Mashoes Pocosin,USFWS,R5 (General),C4 (Moderate),Moderate,2021/01/22
809,1799,5173.95,Mashoes Marshes,"PRV, USFWS",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
810,382,5515.48,Masonboro Island,"NCDCM, NCDPR, PRV",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
811,587,71.75,Masonboro Outcrop,NCDMF,R3 (High),C5 (General),High,2021/01/22
812,1300,118.65,Grove Stone Natural Area,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
813,1832,34.59,Gum Swamp Bottomland Hardwood Forest,USFS,R3 (High),C4 (Moderate),High,2021/01/22
814,940,429.73,Millstone Creek Natural Area,NCWRC,R3 (High),C3 (High),High,2021/01/22
815,991,31.3,Millseat Outcrop,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
816,1886,14936.96,Atlantic Natural Area,"PRV, USDOD, USFWS",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
817,1774,9.43,Monkey Island,USFWS,R2 (Very High),C4 (Moderate),Very High,2021/01/22
818,152,2223.16,Montreat Watershed,LOCAL,R3 (High),C2 (Very High),Very High,2021/01/22
819,1198,85.38,Cherry Point Woods,PRV,R5 (General),C5 (General),General,2021/01/22
820,1588,2086.61,Nellie Bell Ponds and Marsh,"NCWRC, PRV",R2 (Very High),C3 (High),Very High,2021/01/22
821,708,140.5,Belvidere Natural Area,PRV,R5 (General),C5 (General),General,2021/01/22
822,1155,882.35,Broad Creek Marshes and Forests,PRV,R5 (General),C5 (General),General,2021/01/22
823,3197,822.56,Rockhouse Creek Forests,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
824,3203,137.14,Knight-Brown Preserve,PLC,R5 (General),C5 (General),General,2021/01/22
825,2211,59.4,Cape Fear River Lowlands,PRV,R3 (High),C4 (Moderate),High,2021/01/22
826,2204,67.97,Barbeque Pine Forest,NCFS,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
827,2237,322.54,Buffalo Creek Rare Plant Site,"LOCAL, PRV",R5 (General),C5 (General),General,2021/01/22
828,2241,137.68,Camp Lejeune Frenchs Creek Coastal Goldenrod Site,USDOD,R1 (Exceptional),C5 (General),Exceptional,2021/01/22
829,2240,5.02,Camp Lejeune Mockup Road Coastal Goldenrod Site,USDOD,R3 (High),C5 (General),High,2021/01/22
830,2238,12.46,Camp Lejeune Salliers Bay Coastal Goldenrod Site,USDOD,R1 (Exceptional),C5 (General),Exceptional,2021/01/22
831,2248,581.67,Lake Logan/Sunburst Slopes,NCWRC,R3 (High),C4 (Moderate),High,2021/01/22
832,2219,88.51,Hidden Bay,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
833,815,14.12,Quail Hollow Farm,PRV,R3 (High),C5 (General),High,2021/01/22
834,1099,49.06,Quebec Mountain Slope,USFS,R5 (General),C5 (General),General,2021/01/22
835,1309,1573.57,Rachel Carson Estuarine Research Reserve,NCDCM,R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
836,453,38.31,Moores Creek National Battlefield,USNPS,R3 (High),C3 (High),High,2021/01/22
837,2053,56.57,Big Oak Woods,UNCCH,R3 (High),C5 (General),High,2021/01/22
838,665,6581.57,South Mountains Henry Fork Watershed,"NCDPR, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
839,919,1189.25,MOTSU Buffer Zone Natural Area,USDOD,R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
840,1007,179.06,Mott Creek Natural Area,PRV,R5 (General),C5 (General),General,2021/01/22
841,973,1319.36,Mount Mitchell State Park,"NCDPR, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
842,981,43.29,Rocky Ford Creek Mountain Laurel Bluff,NCWRC,R5 (General),C5 (General),General,2021/01/22
843,1702,300.99,Theodore Roosevelt State Natural Area,NCDPR,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
844,1903,8739.08,Roper Island,PRV,R3 (High),C4 (Moderate),High,2021/01/22
845,329,940.57,Rough Butt Bald/Gage Bald,"USFS, USNPS",R3 (High),C2 (Very High),Very High,2021/01/22
846,1756,45.25,Salisbury Nature Study Area,"CATW, LOCAL",R3 (High),C5 (General),High,2021/01/22
847,1778,5208.08,Pantego Swamp and Pocosins,PRV,R3 (High),C3 (High),High,2021/01/22
848,975,449.06,St. Clair Creek Natural Area,PRV,R5 (General),C5 (General),General,2021/01/22
849,974,206.62,Hills Creek/Camp Hardee Woods,PRV,R5 (General),C5 (General),General,2021/01/22
850,1757,962.52,Sophie Island Natural Area,PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
851,2266,790.32,Long Valley Farm Natural Area,TNC,R3 (High),C5 (General),High,2021/01/22
852,2281,1.74,Jake Branch Meadow,PRV,R3 (High),C5 (General),High,2021/01/22
853,657,249.29,Devils Courthouse,"USFS, USNPS",R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
854,848,540.04,Diabase Sill near Clay,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
855,1210,104.54,NEU/Contentnea Creek Aquatic Habitat,PW,R3 (High),C3 (High),High,2021/01/22
856,1157,203.31,Sugar Mountain Natural Area,"NCDPR, PRV",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
857,6,554.3,Sunset Beach Wood Stork Ponds,PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
858,375,365.89,Sunset Harbor/Ash Swamp,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
859,1255,2.63,Blue Pond,"NCMNS, PRV",R5 (General),C5 (General),General,2021/01/22
860,287,2818.04,Voice of America Site A,USVOA,R2 (Very High),C4 (Moderate),Very High,2021/01/22
861,1049,2714.51,Voice of America Site B,USVOA,R2 (Very High),C5 (General),Very High,2021/01/22
862,1910,639.59,Voice of America Site C,"ECU, USVOA",R5 (General),C5 (General),General,2021/01/22
863,531,2113.7,Devil's Gut,TNC,R2 (Very High),C4 (Moderate),Very High,2021/01/22
864,571,25.25,Walking Fern Cove,USFS,R2 (Very High),C4 (Moderate),Very High,2021/01/22
865,556,767.01,Walkers Millpond and Black Creek,"PRV, USFS",R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
866,83,410.89,Picture Creek Diabase Barrens,"NCDA, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
867,1458,1721.21,Gibbs Woods/Tull Bay Marshes,PRV,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
868,183,2005.8,Troublesome Point/Gibbs Point Forests and Marshes,"NCWRC, PRV",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
869,651,298.85,Bell Point Marsh,PRV,R5 (General),C5 (General),General,2021/01/22
870,1120,857.14,Lower Tull Creek Woods and Marsh,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
871,1787,2910.12,Upper Pungo River Wetlands,"PRV, TMF",R2 (Very High),C4 (Moderate),Very High,2021/01/22
872,1609,1729.44,Pantego Wetlands,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
873,2000,4407.6,Bluff Island and East Beach,NCDPR,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
874,196,46.47,Dulany Natural Area,"HBF, NCPCP, PRV, USFS",R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
875,1539,250.12,Laurel Ridges,USNPS,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
876,2105,16828.6,Alligator Creek/Second Creek Swamp Forest,"NCWRC, PRV, TCF",R3 (High),C3 (High),High,2021/01/22
877,1720,93.06,Leaksville Loam Forests,PRV,R3 (High),C4 (Moderate),High,2021/01/22
878,1415,1156.32,Pettigrew State Park,"NCDPR, PRV",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
879,342,1768.28,Phoenix Mountain,PRV,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
880,1058,495.61,Pickards Mountain,PRV,R3 (High),C5 (General),High,2021/01/22
881,92,24.52,Fort Barnwell Bluffs,PRV,R3 (High),C4 (Moderate),High,2021/01/22
882,436,47.15,Fort Fisher Coquina Outcrop,"NCDMF, NCDNCR",R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
883,1142,441.05,Fort Fisher State Recreation Area,"NCDCM, NCDPR, USDOD",R2 (Very High),C3 (High),Very High,2021/01/22
884,213,584.84,Hadnot Creek Ponds and Longleaf Pine Woods,USFS,R4 (Moderate),C2 (Very High),Very High,2021/01/22
885,1598,4366.17,Bear Island and Marshes,"NCDPR, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
886,483,17419.77,Harvester Road Tall Pocosin,"PRV, USFWS",R3 (High),C5 (General),High,2021/01/22
887,1968,730.65,Mount Pisgah,"USFS, USNPS",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
888,1118,141.49,Coniott Ridge,PRV,R3 (High),C3 (High),High,2021/01/22
889,1183,712.01,Patsy Pond Limesink Complex,"PRV, USFS",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
890,849,20.83,Bat Fork Natural Area,"NCPCP, PRV",R2 (Very High),C3 (High),Very High,2021/01/22
891,1474,26.37,Rock House Cave Natural Area,PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
892,148,39604.93,Alligator River Swamp Forest,"PRV, USDOD, USFWS",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
893,1294,237.04,Bald Top Mountain,PRV,R3 (High),C4 (Moderate),High,2021/01/22
894,728,968.89,Pilot Mountain State Park/Pilot Mountain Section,NCDPR,R3 (High),C3 (High),High,2021/01/22
895,516,30.68,Pilot Mountain State Park/Yadkin River Section,NCDPR,R3 (High),C4 (Moderate),High,2021/01/22
896,659,4468.1,Pine Island/Currituck Club Natural Area,"NAS, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
897,958,13.99,Horse Neck Pond Bay,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
898,1162,3643.87,Masontown Pocosin,USFS,R3 (High),C4 (Moderate),High,2021/01/22
899,525,253.65,Angola Creek Flatwoods,TNC,R2 (Very High),C4 (Moderate),Very High,2021/01/22
900,971,498.22,McIntosh Bay Complex,"PRV, TNC",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
