"GEO_ID","id"
"S1502_C05_008M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering"
"S1502_C05_009E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields"
"S1502_C05_009M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields"
"S1502_C05_010E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business"
"S1502_C05_010M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business"
"S1502_C05_011E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education"
"S1502_C05_011M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education"
"S1502_C05_012E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others"
"S1502_C05_012M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others"
"S1502_C05_013E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years"
"S1502_C05_013M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years"
"S1502_C05_014E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering"
"S1502_C05_014M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering"
"S1502_C05_015E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields"
"S1502_C05_015M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields"
"S1502_C05_016E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business"
"S1502_C05_016M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business"
"S1502_C05_017E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education"
"S1502_C05_017M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education"
"S1502_C05_018E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others"
"S1502_C05_018M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others"
"S1502_C05_019E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over"
"S1502_C05_019M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over"
"S1502_C05_020E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering"
"S1502_C05_020M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering"
"S1502_C05_021E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields"
"S1502_C05_021M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields"
"S1502_C05_022E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business"
"S1502_C05_022M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business"
"S1502_C05_023E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education"
"S1502_C05_023M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education"
"S1502_C05_024E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"S1502_C05_024M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"S1502_C06_001E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher"
"S1502_C06_001M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher"
"S1502_C06_002E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering"
"S1502_C06_002M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering"
"S1502_C06_003E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields"
"S1502_C06_003M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields"
"S1502_C06_004E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!Business"
"S1502_C06_004M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!Business"
"S1502_C06_005E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!Education"
"S1502_C06_005M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!Education"
"S1502_C06_006E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others"
"S1502_C06_006M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others"
"S1502_C06_007E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years"
"S1502_C06_007M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years"
"S1502_C06_008E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering"
"S1502_C06_008M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering"
"S1502_C06_009E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields"
"S1502_C06_009M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields"
"S1502_C06_010E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business"
"S1502_C06_010M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business"
"S1502_C06_011E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education"
"S1502_C06_011M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education"
"S1502_C06_012E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others"
"S1502_C06_012M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others"
"S1502_C06_013E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years"
"S1502_C06_013M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years"
"S1502_C06_014E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering"
"S1502_C06_014M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering"
"S1502_C06_015E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields"
"S1502_C06_015M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields"
"S1502_C06_016E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business"
"S1502_C06_016M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business"
"S1502_C06_017E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education"
"S1502_C06_017M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education"
"S1502_C06_018E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others"
"S1502_C06_018M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others"
"S1502_C06_019E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over"
"S1502_C06_019M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over"
"S1502_C06_020E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering"
"S1502_C06_020M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering"
"S1502_C06_021E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields"
"S1502_C06_021M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields"
"S1502_C06_022E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business"
"S1502_C06_022M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business"
"S1502_C06_023E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education"
"S1502_C06_023M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education"
"S1502_C06_024E","Estimate!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"S1502_C06_024M","Margin of Error!!Percent Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
